timestamp,z20_y0_x0,z20_y0_x5,z20_y0_x10,z20_y0_x15,z20_y0_x20,z20_y0_x25,z20_y0_x30,z20_y0_x35,z20_y0_x40,z20_y0_x45,z20_y0_x50,z20_y0_x55,z20_y0_x60,z20_y0_x65,z20_y0_x70,z20_y0_x75,z20_y0_x80,z25_y0_x0,z25_y0_x5,z25_y0_x10,z25_y0_x15,z25_y0_x20,z25_y0_x25,z25_y0_x30,z25_y0_x35,z25_y0_x40,z25_y0_x45,z25_y0_x50,z25_y0_x55,z25_y0_x60,z25_y0_x65,z25_y0_x70,z25_y0_x75,z25_y0_x80,z30_y0_x0,z30_y0_x5,z30_y0_x10,z30_y0_x15,z30_y0_x20,z30_y0_x25,z30_y0_x30,z30_y0_x35,z30_y0_x40,z30_y0_x45,z30_y0_x50,z30_y0_x55,z30_y0_x60,z30_y0_x65,z30_y0_x70,z30_y0_x75,z30_y0_x80,z35_y0_x0,z35_y0_x5,z35_y0_x10,z35_y0_x15,z35_y0_x20,z35_y0_x25,z35_y0_x30,z35_y0_x35,z35_y0_x40,z35_y0_x45,z35_y0_x50,z35_y0_x55,z35_y0_x60,z35_y0_x65,z35_y0_x70,z35_y0_x75,z35_y0_x80,z40_y0_x0,z40_y0_x5,z40_y0_x10,z40_y0_x15,z40_y0_x20,z40_y0_x25,z40_y0_x30,z40_y0_x35,z40_y0_x40,z40_y0_x45,z40_y0_x50,z40_y0_x55,z40_y0_x60,z40_y0_x65,z40_y0_x70,z40_y0_x75,z40_y0_x80,z45_y0_x0,z45_y0_x5,z45_y0_x10,z45_y0_x15,z45_y0_x20,z45_y0_x25,z45_y0_x30,z45_y0_x35,z45_y0_x40,z45_y0_x45,z45_y0_x50,z45_y0_x55,z45_y0_x60,z45_y0_x65,z45_y0_x70,z45_y0_x75,z45_y0_x80,z50_y0_x0,z50_y0_x5,z50_y0_x10,z50_y0_x15,z50_y0_x20,z50_y0_x25,z50_y0_x30,z50_y0_x35,z50_y0_x40,z50_y0_x45,z50_y0_x50,z50_y0_x55,z50_y0_x60,z50_y0_x65,z50_y0_x70,z50_y0_x75,z50_y0_x80,z55_y0_x0,z55_y0_x5,z55_y0_x10,z55_y0_x15,z55_y0_x20,z55_y0_x25,z55_y0_x30,z55_y0_x35,z55_y0_x40,z55_y0_x45,z55_y0_x50,z55_y0_x55,z55_y0_x60,z55_y0_x65,z55_y0_x70,z55_y0_x75,z55_y0_x80,z60_y0_x0,z60_y0_x5,z60_y0_x10,z60_y0_x15,z60_y0_x20,z60_y0_x25,z60_y0_x30,z60_y0_x35,z60_y0_x40,z60_y0_x45,z60_y0_x50,z60_y0_x55,z60_y0_x60,z60_y0_x65,z60_y0_x70,z60_y0_x75,z60_y0_x80
1655938800,-22.519,-22.377,-22.377,-22.831,-25.066,-25.066,-35.160,-35.160,-61.239,-131.410,-131.410,-214.818,-304.672,-304.672,-424.730,-424.730,-496.499,-22.499,-22.394,-22.394,-22.898,-25.195,-25.195,-35.447,-35.447,-62.062,-134.386,-134.386,-219.160,-306.745,-306.745,-415.650,-415.650,-466.956,-22.573,-22.508,-22.508,-23.072,-25.443,-25.443,-35.919,-35.919,-63.277,-138.463,-138.463,-224.965,-308.754,-308.754,-400.794,-400.794,-428.117,-23.401,-23.393,-23.393,-24.042,-26.547,-26.547,-37.636,-37.636,-66.832,-148.595,-148.595,-237.486,-306.412,-306.412,-353.550,-353.550,-338.149,-24.628,-24.600,-24.600,-25.234,-27.777,-27.777,-39.321,-39.321,-69.619,-154.346,-154.346,-242.372,-299.473,-299.473,-322.444,-322.444,-292.398,-27.367,-27.184,-27.184,-27.679,-30.225,-30.225,-42.547,-42.547,-74.268,-158.227,-158.227,-235.057,-271.463,-271.463,-269.270,-269.270,-231.934,-31.613,-31.111,-31.111,-31.293,-33.737,-33.737,-47.000,-47.000,-80.160,-162.056,-162.056,-226.624,-244.701,-244.701,-226.045,-226.045,-187.270,-45.425,-43.376,-43.376,-42.057,-43.674,-43.674,-58.895,-58.895,-94.335,-169.709,-169.709,-210.725,-201.492,-201.492,-167.376,-167.376,-132.150,-54.398,-50.964,-50.964,-48.383,-49.228,-49.228,-65.225,-65.225,-101.339,-173.084,-173.084,-204.177,-186.006,-186.006,-149.271,-149.271,-116.454
1655942400,-23.312,-23.468,-23.468,-24.431,-27.361,-27.361,-35.916,-35.916,-58.003,-119.353,-119.353,-209.475,-303.496,-303.496,-422.843,-422.843,-495.255,-23.430,-23.597,-23.597,-24.582,-27.550,-27.550,-36.220,-36.220,-58.695,-121.665,-121.665,-213.193,-304.906,-304.906,-413.250,-413.250,-465.577,-23.696,-23.874,-23.874,-24.883,-27.901,-27.901,-36.744,-36.744,-59.806,-125.177,-125.177,-218.760,-306.747,-306.747,-398.377,-398.377,-426.880,-25.018,-25.200,-25.200,-26.237,-29.373,-29.373,-38.759,-38.759,-63.469,-134.667,-134.667,-231.058,-304.069,-304.069,-350.870,-350.870,-336.720,-26.383,-26.542,-26.542,-27.562,-30.767,-30.767,-40.591,-40.591,-66.430,-140.329,-140.329,-235.108,-295.446,-295.446,-317.524,-317.524,-288.627,-28.567,-28.657,-28.657,-29.612,-32.894,-32.894,-43.365,-43.365,-70.688,-145.459,-145.459,-229.695,-269.083,-269.083,-266.436,-266.436,-230.774,-31.796,-31.740,-31.740,-32.533,-35.861,-35.861,-47.168,-47.168,-76.199,-150.675,-150.675,-222.273,-242.714,-242.714,-223.915,-223.915,-187.253,-42.147,-41.308,-41.308,-41.196,-44.258,-44.258,-57.501,-57.501,-89.877,-160.969,-160.969,-207.631,-200.126,-200.126,-166.741,-166.741,-134.200,-48.852,-47.269,-47.269,-46.318,-48.953,-48.953,-62.997,-62.997,-96.538,-165.265,-165.265,-201.871,-185.604,-185.604,-149.974,-149.974,-119.804
1655946000,-24.338,-24.634,-24.634,-25.889,-29.098,-29.098,-36.899,-36.899,-56.168,-109.510,-109.510,-202.519,-301.732,-301.732,-420.864,-420.864,-493.938,-24.536,-24.836,-24.836,-26.105,-29.347,-29.347,-37.247,-37.247,-56.831,-111.435,-111.435,-205.787,-302.603,-302.603,-410.801,-410.801,-464.123,-24.903,-25.207,-25.207,-26.490,-29.778,-29.778,-37.830,-37.830,-57.909,-114.500,-114.500,-211.091,-304.271,-304.271,-395.888,-395.888,-425.545,-26.401,-26.704,-26.704,-28.013,-31.435,-31.435,-39.995,-39.995,-61.587,-123.353,-123.353,-223.182,-301.213,-301.213,-347.957,-347.957,-334.974,-27.738,-28.027,-28.027,-29.337,-32.855,-32.855,-41.821,-41.821,-64.503,-128.890,-128.890,-226.892,-291.362,-291.362,-312.908,-312.908,-285.246,-29.663,-29.919,-29.919,-31.205,-34.838,-34.838,-44.365,-44.365,-68.446,-134.568,-134.568,-223.204,-266.367,-266.367,-263.588,-263.588,-229.585,-32.346,-32.529,-32.529,-33.741,-37.490,-37.490,-47.738,-47.738,-73.499,-140.545,-140.545,-217.033,-240.522,-240.522,-221.913,-221.913,-187.257,-40.536,-40.314,-40.314,-41.018,-44.813,-44.813,-56.808,-56.808,-86.212,-152.570,-152.570,-204.057,-198.776,-198.776,-166.404,-166.404,-136.146,-45.843,-45.214,-45.214,-45.387,-48.991,-48.991,-61.748,-61.748,-92.569,-157.614,-157.614,-199.022,-184.952,-184.952,-150.549,-150.549,-122.513
1655949600,-25.423,-25.792,-25.792,-27.213,-30.541,-30.541,-37.897,-37.897,-55.162,-101.782,-101.782,-194.447,-299.308,-299.308,-418.785,-418.785,-492.559,-25.669,-26.042,-26.042,-27.474,-30.836,-30.836,-38.285,-38.285,-55.828,-103.470,-103.470,-197.387,-299.743,-299.743,-408.290,-408.290,-462.605,-26.088,-26.463,-26.463,-27.911,-31.321,-31.321,-38.915,-38.915,-56.896,-106.197,-106.197,-202.416,-301.246,-301.246,-393.319,-393.319,-424.121,-27.641,-28.020,-28.020,-29.506,-33.070,-33.070,-41.151,-41.151,-60.529,-114.420,-114.420,-214.285,-297.818,-297.818,-344.856,-344.856,-332.996,-28.922,-29.297,-29.297,-30.801,-34.479,-34.479,-42.940,-42.940,-63.336,-119.744,-119.744,-217.971,-287.115,-287.115,-308.539,-308.539,-282.173,-30.672,-31.033,-31.033,-32.545,-36.360,-36.360,-45.326,-45.326,-67.008,-125.540,-125.540,-215.839,-263.315,-263.315,-260.766,-260.766,-228.406,-33.007,-33.334,-33.334,-34.827,-38.795,-38.795,-48.399,-48.399,-71.641,-131.806,-131.806,-211.038,-238.116,-238.116,-220.042,-220.042,-187.288,-39.811,-39.926,-39.926,-41.165,-45.353,-45.353,-56.516,-56.516,-83.314,-144.741,-144.741,-200.015,-197.397,-197.397,-166.248,-166.248,-137.938,-44.183,-44.071,-44.071,-44.992,-49.142,-49.142,-61.024,-61.024,-89.335,-150.327,-150.327,-195.692,-184.119,-184.119,-151.057,-151.057,-124.799
1655953200,-26.509,-26.919,-26.919,-28.434,-31.812,-31.812,-38.870,-38.870,-54.678,-95.858,-95.858,-185.830,-296.216,-296.216,-416.637,-416.637,-491.167,-26.785,-27.198,-27.198,-28.727,-32.141,-32.141,-39.291,-39.291,-55.356,-97.390,-97.390,-188.525,-296.303,-296.303,-405.743,-405.743,-461.069,-27.229,-27.648,-27.648,-29.194,-32.662,-32.662,-39.954,-39.954,-56.420,-99.860,-99.860,-193.271,-297.655,-297.655,-390.696,-390.696,-422.651,-28.787,-29.214,-29.214,-30.814,-34.452,-34.452,-42.217,-42.217,-59.975,-107.478,-107.478,-204.860,-293.901,-293.901,-341.633,-341.633,-330.887,-30.010,-30.441,-30.441,-32.073,-35.835,-35.835,-43.960,-43.960,-62.658,-112.519,-112.519,-208.683,-282.659,-282.659,-304.402,-304.402,-279.383,-31.625,-32.054,-32.054,-33.717,-37.631,-37.631,-46.221,-46.221,-66.093,-118.186,-118.186,-207.913,-259.956,-259.956,-258.021,-258.021,-227.290,-33.715,-34.132,-34.132,-35.813,-39.900,-39.900,-49.068,-49.068,-70.359,-124.427,-124.427,-204.492,-235.515,-235.515,-218.321,-218.321,-187.364,-39.574,-39.886,-39.886,-41.474,-45.880,-45.880,-56.456,-56.456,-81.062,-137.636,-137.636,-195.570,-195.973,-195.973,-166.217,-166.217,-139.590,-43.285,-43.472,-43.472,-44.887,-49.356,-49.356,-60.608,-60.608,-86.725,-143.551,-143.551,-191.961,-183.157,-183.157,-151.542,-151.542,-126.798
1655956800,-27.569,-28.004,-28.004,-29.574,-32.968,-32.968,-39.797,-39.797,-54.502,-91.357,-91.357,-177.187,-292.422,-292.422,-414.393,-414.393,-489.761,-27.862,-28.301,-28.301,-29.887,-33.321,-33.321,-40.244,-40.244,-55.190,-92.780,-92.780,-179.689,-292.237,-292.237,-403.129,-403.129,-459.512,-28.320,-28.765,-28.765,-30.373,-33.864,-33.864,-40.928,-40.928,-56.247,-95.048,-95.048,-184.149,-293.456,-293.456,-387.991,-387.991,-421.130,-29.859,-30.318,-30.318,-31.992,-35.666,-35.666,-43.191,-43.191,-59.712,-102.107,-102.107,-195.372,-289.446,-289.446,-338.304,-338.304,-328.690,-31.027,-31.495,-31.495,-33.211,-37.016,-37.016,-44.885,-44.885,-62.273,-106.836,-106.836,-199.369,-277.931,-277.931,-300.454,-300.454,-276.823,-32.533,-33.007,-33.007,-34.770,-38.735,-38.735,-47.040,-47.040,-65.500,-112.247,-112.247,-199.740,-256.285,-256.285,-255.361,-255.361,-226.244,-34.437,-34.913,-34.913,-36.718,-40.868,-40.868,-49.706,-49.706,-69.454,-118.280,-118.280,-197.609,-232.708,-232.708,-216.732,-216.732,-187.474,-39.612,-40.044,-40.044,-41.862,-46.391,-46.391,-56.521,-56.521,-79.310,-131.321,-131.321,-190.797,-194.477,-194.477,-166.261,-166.261,-141.111,-42.837,-43.204,-43.204,-44.945,-49.602,-49.602,-60.373,-60.373,-84.617,-137.369,-137.369,-187.901,-182.085,-182.085,-152.011,-152.011,-128.583
1655960400,-28.639,-29.090,-29.090,-30.695,-34.094,-34.094,-40.748,-40.748,-54.614,-88.084,-88.084,-169.070,-288.102,-288.102,-412.172,-412.172,-488.470,-28.942,-29.398,-29.398,-31.021,-34.463,-34.463,-41.213,-41.213,-55.309,-89.423,-89.423,-171.409,-287.710,-287.710,-400.565,-400.565,-458.063,-29.404,-29.866,-29.866,-31.514,-35.017,-35.017,-41.908,-41.908,-56.354,-91.522,-91.522,-175.573,-288.804,-288.804,-385.320,-385.320,-419.685,-30.910,-31.391,-31.391,-33.114,-36.807,-36.807,-44.147,-44.147,-59.712,-98.058,-98.058,-186.313,-284.592,-284.592,-334.998,-334.998,-326.554,-32.024,-32.517,-32.517,-34.291,-38.119,-38.119,-45.788,-45.788,-62.153,-102.463,-102.463,-190.437,-273.016,-273.016,-296.767,-296.767,-274.564,-33.437,-33.941,-33.941,-35.772,-39.765,-39.765,-47.845,-47.845,-65.191,-107.552,-107.552,-191.697,-252.409,-252.409,-252.883,-252.883,-225.361,-35.191,-35.705,-35.705,-37.595,-41.779,-41.779,-50.356,-50.356,-68.874,-113.273,-113.273,-190.688,-229.777,-229.777,-215.338,-215.338,-187.685,-39.839,-40.348,-40.348,-42.319,-46.916,-46.916,-56.693,-56.693,-77.985,-125.847,-125.847,-185.854,-192.951,-192.951,-166.405,-166.405,-142.566,-42.688,-43.168,-43.168,-45.127,-49.895,-49.895,-60.284,-60.284,-82.947,-131.862,-131.862,-183.643,-180.960,-180.960,-152.510,-152.510,-130.244
1655964000,-29.849,-30.312,-30.312,-31.947,-35.362,-35.362,-41.912,-41.912,-55.197,-86.154,-86.154,-162.219,-283.784,-283.784,-410.348,-410.348,-487.641,-30.155,-30.624,-30.624,-32.280,-35.739,-35.739,-42.388,-42.388,-55.894,-87.421,-87.421,-164.409,-283.232,-283.232,-398.422,-398.422,-457.078,-30.610,-31.087,-31.087,-32.770,-36.293,-36.293,-43.080,-43.080,-56.915,-89.361,-89.361,-168.252,-284.179,-284.179,-383.039,-383.039,-418.665,-32.063,-32.561,-32.561,-34.325,-38.041,-38.041,-45.262,-45.262,-60.133,-95.363,-95.363,-178.329,-279.734,-279.734,-332.047,-332.047,-324.816,-33.119,-33.631,-33.631,-35.450,-39.302,-39.302,-46.836,-46.836,-62.442,-99.419,-99.419,-182.447,-268.226,-268.226,-293.606,-293.606,-272.858,-34.440,-34.968,-34.968,-36.850,-40.867,-40.867,-48.789,-48.789,-65.291,-104.132,-104.132,-184.308,-248.616,-248.616,-250.842,-250.842,-224.883,-36.060,-36.603,-36.603,-38.554,-42.764,-42.764,-51.151,-51.151,-68.717,-109.461,-109.461,-184.172,-226.959,-226.959,-214.340,-214.340,-188.193,-40.267,-40.828,-40.828,-42.905,-47.545,-47.545,-57.051,-57.051,-77.138,-121.333,-121.333,-181.021,-191.544,-191.544,-166.778,-166.778,-144.105,-42.806,-43.359,-43.359,-45.468,-50.305,-50.305,-60.393,-60.393,-81.752,-127.163,-127.163,-179.413,-179.917,-179.917,-153.158,-153.158,-131.919
1655967600,-31.215,-31.690,-31.690,-33.359,-36.805,-36.805,-43.315,-43.315,-56.222,-85.352,-85.352,-156.796,-279.618,-279.618,-408.921,-408.921,-487.280,-31.518,-31.999,-31.999,-33.690,-37.184,-37.184,-43.792,-43.792,-56.915,-86.554,-86.554,-158.844,-278.942,-278.942,-396.701,-396.701,-456.560,-31.959,-32.449,-32.449,-34.168,-37.726,-37.726,-44.470,-44.470,-57.900,-88.338,-88.338,-162.344,-279.712,-279.712,-381.149,-381.149,-418.073,-33.340,-33.852,-33.852,-35.656,-39.405,-39.405,-46.564,-46.564,-60.945,-93.800,-93.800,-171.607,-274.978,-274.978,-329.473,-329.473,-323.499,-34.331,-34.859,-34.859,-36.719,-40.603,-40.603,-48.057,-48.057,-63.109,-97.493,-97.493,-175.576,-263.620,-263.620,-290.959,-290.959,-271.680,-35.560,-36.105,-36.105,-38.032,-42.078,-42.078,-49.896,-49.896,-65.764,-101.803,-101.803,-177.768,-244.959,-244.959,-249.237,-249.237,-224.796,-37.052,-37.616,-37.616,-39.618,-43.854,-43.854,-52.107,-52.107,-68.938,-106.695,-106.695,-178.243,-224.282,-224.282,-213.721,-213.721,-188.982,-40.868,-41.464,-41.464,-43.619,-48.289,-48.289,-57.587,-57.587,-76.701,-117.717,-117.717,-176.418,-190.257,-190.257,-167.363,-167.363,-145.731,-43.137,-43.740,-43.740,-45.953,-50.836,-50.836,-60.685,-60.685,-80.966,-123.245,-123.245,-175.309,-178.963,-178.963,-153.950,-153.950,-133.623
1655971200,-32.858,-33.348,-33.348,-35.061,-38.571,-38.571,-45.120,-45.120,-57.867,-85.799,-85.799,-153.182,-276.110,-276.110,-408.169,-408.169,-487.628,-33.151,-33.647,-33.647,-35.383,-38.943,-38.943,-45.591,-45.591,-58.546,-86.933,-86.933,-155.085,-275.328,-275.328,-395.678,-395.678,-456.754,-33.567,-34.071,-34.071,-35.836,-39.460,-39.460,-46.238,-46.238,-59.478,-88.549,-88.549,-158.215,-275.864,-275.864,-379.916,-379.916,-418.152,-34.845,-35.373,-35.373,-37.222,-41.030,-41.030,-48.197,-48.197,-62.298,-93.423,-93.423,-166.489,-270.697,-270.697,-327.517,-327.517,-322.830,-35.757,-36.301,-36.301,-38.206,-42.143,-42.143,-49.585,-49.585,-64.289,-96.722,-96.722,-170.146,-259.492,-259.492,-289.016,-289.016,-271.198,-36.882,-37.444,-37.444,-39.417,-43.510,-43.510,-51.289,-51.289,-66.727,-100.589,-100.589,-172.399,-241.690,-241.690,-248.240,-248.240,-225.256,-38.242,-38.824,-38.824,-40.874,-45.150,-45.150,-53.332,-53.332,-69.635,-105.000,-105.000,-173.205,-221.939,-221.939,-213.614,-213.614,-190.176,-41.677,-42.301,-42.301,-44.517,-49.221,-49.221,-58.372,-58.372,-76.726,-115.036,-115.036,-172.269,-189.206,-189.206,-168.250,-168.250,-147.540,-43.694,-44.333,-44.333,-46.625,-51.546,-51.546,-61.215,-61.215,-80.625,-120.158,-120.158,-171.515,-178.195,-178.195,-154.965,-154.965,-135.443
1655974800,-34.594,-35.099,-35.099,-36.860,-40.446,-40.446,-47.067,-47.067,-59.749,-86.799,-86.799,-150.645,-272.754,-272.754,-407.511,-407.511,-488.158,-34.868,-35.379,-35.379,-37.164,-40.800,-40.800,-47.520,-47.520,-60.403,-87.859,-87.859,-152.400,-271.884,-271.884,-394.772,-394.772,-457.123,-35.252,-35.772,-35.772,-37.586,-41.284,-41.284,-48.128,-48.128,-61.272,-89.315,-89.315,-155.168,-272.162,-272.162,-378.788,-378.788,-418.373,-36.419,-36.963,-36.963,-38.858,-42.731,-42.731,-49.936,-49.936,-63.851,-93.629,-93.629,-162.424,-266.506,-266.506,-325.712,-325.712,-322.342,-37.248,-37.807,-37.807,-39.757,-43.753,-43.753,-51.210,-51.210,-65.665,-96.551,-96.551,-165.691,-255.476,-255.476,-287.326,-287.326,-270.959,-38.269,-38.846,-38.846,-40.863,-45.006,-45.006,-52.775,-52.775,-67.885,-99.989,-99.989,-167.839,-238.479,-238.479,-247.452,-247.452,-225.868,-39.498,-40.096,-40.096,-42.190,-46.508,-46.508,-54.647,-54.647,-70.531,-103.927,-103.927,-168.782,-219.632,-219.632,-213.669,-213.669,-191.446,-42.577,-43.221,-43.221,-45.487,-50.219,-50.219,-59.254,-59.254,-76.972,-112.965,-112.965,-168.411,-188.162,-188.162,-169.196,-169.196,-149.322,-44.363,-45.028,-45.028,-47.379,-52.327,-52.327,-61.844,-61.844,-80.514,-117.643,-117.643,-167.906,-177.425,-177.425,-156.009,-156.009,-137.217
1655978400,-36.668,-37.192,-37.192,-39.018,-42.717,-42.717,-49.491,-49.491,-62.288,-88.865,-88.865,-149.791,-270.371,-270.371,-407.524,-407.524,-489.359,-36.915,-37.446,-37.446,-39.296,-43.044,-43.044,-49.916,-49.916,-62.904,-89.836,-89.836,-151.381,-269.407,-269.407,-394.557,-394.557,-458.168,-37.253,-37.791,-37.791,-39.669,-43.477,-43.477,-50.463,-50.463,-63.686,-91.106,-91.106,-153.761,-269.362,-269.362,-378.312,-378.312,-419.233,-38.267,-38.829,-38.829,-40.782,-44.751,-44.751,-52.061,-52.061,-65.955,-94.792,-94.792,-159.880,-263.030,-263.030,-324.531,-324.531,-322.482,-38.991,-39.567,-39.567,-41.573,-45.653,-45.653,-53.190,-53.190,-67.553,-97.299,-97.299,-162.637,-252.102,-252.102,-286.298,-286.298,-271.348,-39.887,-40.481,-40.481,-42.550,-46.767,-46.767,-54.584,-54.584,-69.520,-100.271,-100.271,-164.491,-235.780,-235.780,-247.231,-247.231,-226.974,-40.968,-41.584,-41.584,-43.726,-48.106,-48.106,-56.259,-56.259,-71.875,-103.701,-103.701,-165.350,-217.730,-217.730,-214.185,-214.185,-193.081,-43.671,-44.334,-44.334,-46.647,-51.418,-51.418,-60.386,-60.386,-77.621,-111.660,-111.660,-165.144,-187.366,-187.366,-170.409,-170.409,-151.284,-45.226,-45.912,-45.912,-48.313,-53.293,-53.293,-62.704,-62.704,-80.778,-115.832,-115.832,-164.737,-176.848,-176.848,-157.253,-157.253,-139.112
1655982000,-38.667,-39.210,-39.210,-41.099,-44.905,-44.905,-51.824,-51.824,-64.727,-90.861,-90.861,-149.263,-267.830,-267.830,-407.149,-407.149,-490.282,-38.881,-39.430,-39.430,-41.341,-45.196,-45.196,-52.208,-52.208,-65.289,-91.732,-91.732,-150.678,-266.774,-266.774,-393.976,-393.976,-458.915,-39.170,-39.727,-39.727,-41.665,-45.575,-45.575,-52.692,-52.692,-65.983,-92.836,-92.836,-152.708,-266.411,-266.411,-377.480,-377.480,-419.774,-40.040,-40.618,-40.618,-42.627,-46.683,-46.683,-54.089,-54.089,-67.960,-95.975,-95.975,-157.789,-259.420,-259.420,-323.107,-323.107,-322.394,-40.665,-41.258,-41.258,-43.315,-47.473,-47.473,-55.082,-55.082,-69.358,-98.117,-98.117,-160.048,-248.611,-248.611,-285.123,-285.123,-271.569,-41.445,-42.055,-42.055,-44.171,-48.455,-48.455,-56.314,-56.314,-71.089,-100.674,-100.674,-161.566,-232.928,-232.928,-246.862,-246.862,-227.883,-42.390,-43.020,-43.020,-45.205,-49.640,-49.640,-57.802,-57.802,-73.171,-103.647,-103.647,-162.264,-215.655,-215.655,-214.545,-214.545,-194.503,-44.748,-45.426,-45.426,-47.777,-52.577,-52.577,-61.479,-61.479,-78.270,-110.614,-110.614,-162.052,-186.400,-186.400,-171.463,-171.463,-153.042,-46.094,-46.797,-46.797,-49.236,-54.234,-54.234,-63.541,-63.541,-81.073,-114.303,-114.303,-161.681,-176.120,-176.120,-158.354,-158.354,-140.828
1655985600,-40.241,-40.799,-40.799,-42.730,-46.603,-46.603,-53.590,-53.590,-66.457,-91.990,-91.990,-148.069,-264.278,-264.278,-405.629,-405.629,-490.265,-40.418,-40.982,-40.982,-42.935,-46.853,-46.853,-53.925,-53.925,-66.953,-92.754,-92.754,-149.297,-263.132,-263.132,-392.270,-392.270,-458.688,-40.671,-41.242,-41.242,-43.220,-47.190,-47.190,-54.361,-54.361,-67.578,-93.738,-93.738,-151.053,-262.513,-262.513,-375.566,-375.566,-419.335,-41.445,-42.037,-42.037,-44.082,-48.189,-48.189,-55.624,-55.624,-69.356,-96.510,-96.510,-155.336,-255.040,-255.040,-320.816,-320.816,-321.486,-42.005,-42.610,-42.610,-44.701,-48.903,-48.903,-56.522,-56.522,-70.613,-98.394,-98.394,-157.206,-244.442,-244.442,-283.228,-283.228,-271.083,-42.702,-43.324,-43.324,-45.471,-49.790,-49.790,-57.638,-57.638,-72.169,-100.647,-100.647,-158.455,-229.441,-229.441,-245.840,-245.840,-228.138,-43.546,-44.188,-44.188,-46.401,-50.861,-50.861,-58.985,-58.985,-74.043,-103.271,-103.271,-159.020,-212.992,-212.992,-214.314,-214.314,-195.329,-45.638,-46.327,-46.327,-48.701,-53.505,-53.505,-62.307,-62.307,-78.626,-109.449,-109.449,-158.818,-184.973,-184.973,-172.063,-172.063,-154.353,-46.821,-47.534,-47.534,-49.995,-54.987,-54.987,-64.162,-64.162,-81.146,-112.739,-112.739,-158.493,-175.003,-175.003,-159.076,-159.076,-142.173
1655989200,-41.470,-42.039,-42.039,-43.997,-47.904,-47.904,-54.900,-54.900,-67.633,-92.501,-92.501,-146.421,-260.011,-260.011,-403.211,-403.211,-489.537,-41.615,-42.189,-42.189,-44.167,-48.114,-48.114,-55.186,-55.186,-68.059,-93.152,-93.152,-147.445,-258.762,-258.762,-389.678,-389.678,-457.723,-41.839,-42.421,-42.421,-44.423,-48.419,-48.419,-55.583,-55.583,-68.629,-94.042,-94.042,-148.972,-257.928,-257.928,-372.801,-372.801,-418.150,-42.554,-43.155,-43.155,-45.222,-49.349,-49.349,-56.762,-56.762,-70.278,-96.566,-96.566,-152.644,-250.118,-250.118,-317.861,-317.861,-319.980,-43.071,-43.685,-43.685,-45.797,-50.015,-50.015,-57.599,-57.599,-71.438,-98.270,-98.270,-154.214,-239.797,-239.797,-280.786,-280.786,-270.091,-43.713,-44.343,-44.343,-46.508,-50.838,-50.838,-58.634,-58.634,-72.870,-100.299,-100.299,-155.251,-225.505,-225.505,-244.324,-244.324,-227.925,-44.484,-45.134,-45.134,-47.363,-51.826,-51.826,-59.878,-59.878,-74.587,-102.658,-102.658,-155.714,-209.905,-209.905,-213.633,-213.633,-195.731,-46.376,-47.071,-47.071,-49.456,-54.245,-54.245,-62.924,-62.924,-78.766,-108.206,-108.206,-155.533,-183.197,-183.197,-172.312,-172.312,-155.341,-47.431,-48.151,-48.151,-50.621,-55.589,-55.589,-64.613,-64.613,-81.061,-111.169,-111.169,-155.258,-173.590,-173.590,-159.503,-159.503,-143.249
1655992800,-42.665,-43.243,-43.243,-45.227,-49.166,-49.166,-56.174,-56.174,-68.795,-93.081,-93.081,-145.056,-255.860,-255.860,-400.588,-400.588,-488.707,-42.782,-43.365,-43.365,-45.366,-49.341,-49.341,-56.414,-56.414,-69.152,-93.616,-93.616,-145.859,-254.473,-254.473,-386.889,-386.889,-456.642,-42.978,-43.568,-43.568,-45.591,-49.612,-49.612,-56.769,-56.769,-69.662,-94.404,-94.404,-147.160,-253.417,-253.417,-369.845,-369.845,-416.839,-43.627,-44.235,-44.235,-46.321,-50.467,-50.467,-57.855,-57.855,-71.175,-96.683,-96.683,-150.265,-245.284,-245.284,-314.811,-314.811,-318.437,-44.101,-44.723,-44.723,-46.851,-51.082,-51.082,-58.630,-58.630,-72.242,-98.217,-98.217,-151.553,-235.236,-235.236,-278.304,-278.304,-269.096,-44.688,-45.326,-45.326,-47.506,-51.842,-51.842,-59.587,-59.587,-73.556,-100.040,-100.040,-152.376,-221.610,-221.610,-242.763,-242.763,-227.692,-45.391,-46.047,-46.047,-48.289,-52.751,-52.751,-60.733,-60.733,-75.126,-102.156,-102.156,-152.714,-206.813,-206.813,-212.890,-212.890,-196.092,-47.099,-47.799,-47.799,-50.190,-54.960,-54.960,-63.521,-63.521,-78.931,-107.124,-107.124,-152.475,-181.364,-181.364,-172.484,-172.484,-156.273,-48.041,-48.765,-48.765,-51.238,-56.178,-56.178,-65.058,-65.058,-81.016,-109.780,-109.780,-152.211,-172.116,-172.116,-159.857,-159.857,-144.271
